atom x[N] y[N] z[N]
215 -2.82291e-13 -1.23188e-12 -1.70583e-12 
216 -2.91671e-13 -1.23825e-12 -1.71995e-12 
217 -2.93062e-13 -1.2365e-12 -1.72176e-12 
218 -2.94456e-13 -1.24288e-12 -1.71541e-12 
219 -2.87863e-13 -1.2571e-12 -1.73734e-12 
220 -2.97242e-13 -1.26347e-12 -1.75146e-12 
221 -2.98633e-13 -1.26172e-12 -1.75327e-12 
222 -3.00026e-13 -1.26809e-12 -1.74691e-12 
223 -2.93434e-13 -1.28231e-12 -1.76883e-12 
224 -3.02812e-13 -1.28868e-12 -1.78296e-12 
225 -3.04205e-13 -1.28693e-12 -1.78477e-12 
226 -3.056e-13 -1.2933e-12 -1.7784e-12 
227 -2.9901e-13 -1.30751e-12 -1.80032e-12 
228 -3.08393e-13 -1.31388e-12 -1.81444e-12 
229 -3.09806e-13 -1.31212e-12 -1.81625e-12 
230 -3.11221e-13 -1.31849e-12 -1.80988e-12 
231 -3.04637e-13 -1.3327e-12 -1.83179e-12 
232 -3.14107e-13 -1.33908e-12 -1.84592e-12 
233 -3.16031e-13 -1.33724e-12 -1.84781e-12 
234 -3.1796e-13 -1.34369e-12 -1.84135e-12 
235 -3.11469e-13 -1.35789e-12 -1.86325e-12 
236 -3.274e-13 -1.36488e-12 -1.87801e-12 
237 -3.19424e-13 -1.37049e-12 -1.87244e-12 
238 -3.11407e-13 -1.36948e-12 -1.87344e-12 
239 -3.11374e-13 -1.38306e-12 -1.8947e-12 
240 -3.11391e-13 -1.39671e-12 -1.91618e-12 
241 -3.19298e-13 -1.39557e-12 -1.91735e-12 
242 -3.27262e-13 -1.40124e-12 -1.91159e-12 
243 -3.11346e-13 -1.40807e-12 -1.92614e-12 
244 -3.21214e-13 -1.41429e-12 -1.94018e-12 
245 -3.22702e-13 -1.41251e-12 -1.94197e-12 
246 -3.24189e-13 -1.41881e-12 -1.93558e-12 
247 -3.18133e-13 -1.43306e-12 -1.95756e-12 
248 -3.2753e-13 -1.43936e-12 -1.97169e-12 
249 -3.28925e-13 -1.43758e-12 -1.97348e-12 
250 -3.30322e-13 -1.44388e-12 -1.96708e-12 
251 -3.23757e-13 -1.45805e-12 -1.98897e-12 
252 -3.33127e-13 -1.46435e-12 -2.0031e-12 
253 -3.34515e-13 -1.46256e-12 -2.00489e-12 
254 -3.35905e-13 -1.46886e-12 -1.99849e-12 
255 -3.2932e-13 -1.48303e-12 -2.02038e-12 
256 -3.38686e-13 -1.48932e-12 -2.0345e-12 
257 -3.40072e-13 -1.48753e-12 -2.03629e-12 
258 -3.4146e-13 -1.49383e-12 -2.02988e-12 
259 -3.34873e-13 -1.50799e-12 -2.05176e-12 
260 -3.44237e-13 -1.51429e-12 -2.06589e-12 
261 -3.45622e-13 -1.5125e-12 -2.06768e-12 
262 -3.4701e-13 -1.51879e-12 -2.06126e-12 
263 -3.40423e-13 -1.53295e-12 -2.08314e-12 
264 -3.49785e-13 -1.53924e-12 -2.09727e-12 
265 -3.5117e-13 -1.53745e-12 -2.09905e-12 
266 -3.52557e-13 -1.54374e-12 -2.09263e-12 
267 -3.45971e-13 -1.5579e-12 -2.1145e-12 
268 -3.55331e-13 -1.56419e-12 -2.12863e-12 
269 -3.56716e-13 -1.56239e-12 -2.13041e-12 
270 -3.58103e-13 -1.56868e-12 -2.12399e-12 
271 -3.51516e-13 -1.58284e-12 -2.14586e-12 
272 -3.60875e-13 -1.58912e-12 -2.15998e-12 
273 -3.62259e-13 -1.58733e-12 -2.16176e-12 
274 -3.63645e-13 -1.59362e-12 -2.15534e-12 
275 -3.5706e-13 -1.60777e-12 -2.1772e-12 
276 -3.66417e-13 -1.61405e-12 -2.19132e-12 
277 -3.678e-13 -1.61225e-12 -2.1931e-12 
278 -3.69186e-13 -1.61854e-12 -2.18667e-12 
279 -3.626e-13 -1.63269e-12 -2.20853e-12 
280 -3.71956e-13 -1.63897e-12 -2.22265e-12 
281 -3.73339e-13 -1.63717e-12 -2.22443e-12 
282 -3.74724e-13 -1.64345e-12 -2.21799e-12 
283 -3.6814e-13 -1.6576e-12 -2.23984e-12 
284 -3.77494e-13 -1.66388e-12 -2.25397e-12 
285 -3.78877e-13 -1.66208e-12 -2.25574e-12 
286 -3.80261e-13 -1.66836e-12 -2.2493e-12 
287 -3.73677e-13 -1.6825e-12 -2.27115e-12 
288 -3.8303e-13 -1.68877e-12 -2.28527e-12 
289 -3.84412e-13 -1.68697e-12 -2.28704e-12 
290 -3.85796e-13 -1.69325e-12 -2.2806e-12 
291 -3.79212e-13 -1.70739e-12 -2.30244e-12 
292 -3.88564e-13 -1.71366e-12 -2.31656e-12 
293 -3.89945e-13 -1.71186e-12 -2.31833e-12 
294 -3.91328e-13 -1.71813e-12 -2.31188e-12 
295 -3.84745e-13 -1.73227e-12 -2.33372e-12 
296 -3.94095e-13 -1.73854e-12 -2.34784e-12 
297 -3.95476e-13 -1.73674e-12 -2.34961e-12 
298 -3.96859e-13 -1.74301e-12 -2.34315e-12 
299 -3.90276e-13 -1.75714e-12 -2.36499e-12 
300 -3.99625e-13 -1.76341e-12 -2.37911e-12 
301 -4.01006e-13 -1.7616e-12 -2.38088e-12 
302 -4.02389e-13 -1.76787e-12 -2.37441e-12 
303 -3.95807e-13 -1.782e-12 -2.39624e-12 
304 -4.05155e-13 -1.78827e-12 -2.41037e-12 
305 -4.06538e-13 -1.78646e-12 -2.41213e-12 
306 -4.07923e-13 -1.79273e-12 -2.40566e-12 
307 -4.01342e-13 -1.80685e-12 -2.42749e-12 
308 -4.10695e-13 -1.81312e-12 -2.44161e-12 
309 -4.12097e-13 -1.81131e-12 -2.44337e-12 
310 -4.13503e-13 -1.81758e-12 -2.4369e-12 
311 -4.06929e-13 -1.8317e-12 -2.45872e-12 
312 -4.16369e-13 -1.83797e-12 -2.47285e-12 
313 -4.18281e-13 -1.83608e-12 -2.47469e-12 
314 -4.20199e-13 -1.84242e-12 -2.46813e-12 
315 -4.13717e-13 -1.85653e-12 -2.48994e-12 
316 -4.29601e-13 -1.86342e-12 -2.50469e-12 
317 -4.21639e-13 -1.86895e-12 -2.4991e-12 
318 -4.13635e-13 -1.86786e-12 -2.49998e-12 
319 -4.13595e-13 -1.88135e-12 -2.52114e-12 
320 -4.13606e-13 -1.89492e-12 -2.5426e-12 
321 -4.21486e-13 -1.89375e-12 -2.54373e-12 
322 -4.29424e-13 -1.89937e-12 -2.53787e-12 
323 -4.13541e-13 -1.90614e-12 -2.55234e-12 
324 -4.23378e-13 -1.91231e-12 -2.56638e-12 
325 -4.24855e-13 -1.9105e-12 -2.56812e-12 
326 -4.26332e-13 -1.91673e-12 -2.56164e-12 
327 -4.20285e-13 -1.93092e-12 -2.58352e-12 
328 -4.29651e-13 -1.93716e-12 -2.59764e-12 
329 -4.31036e-13 -1.93534e-12 -2.59939e-12 
330 -4.32423e-13 -1.94159e-12 -2.5929e-12 
331 -4.25868e-13 -1.95569e-12 -2.6147e-12 
332 -4.35208e-13 -1.96193e-12 -2.62882e-12 
333 -4.36586e-13 -1.96011e-12 -2.63056e-12 
334 -4.37966e-13 -1.96635e-12 -2.62406e-12 
335 -4.31391e-13 -1.98044e-12 -2.64586e-12 
336 -4.40726e-13 -1.98669e-12 -2.65998e-12 
337 -4.42102e-13 -1.98486e-12 -2.66172e-12 
338 -4.43481e-13 -1.9911e-12 -2.65522e-12 
339 -4.36904e-13 -2.00519e-12 -2.677e-12 
340 -4.46237e-13 -2.01143e-12 -2.69112e-12 
341 -4.47612e-13 -2.00961e-12 -2.69287e-12 
342 -4.4899e-13 -2.01585e-12 -2.68636e-12 
343 -4.42413e-13 -2.02993e-12 -2.70814e-12 
344 -4.51745e-13 -2.03617e-12 -2.72226e-12 
345 -4.5312e-13 -2.03434e-12 -2.724e-12 
346 -4.54497e-13 -2.04058e-12 -2.71749e-12 
347 -4.4792e-13 -2.05466e-12 -2.73926e-12 
348 -4.5725e-13 -2.0609e-12 -2.75338e-12 
349 -4.58625e-13 -2.05907e-12 -2.75512e-12 
350 -4.60001e-13 -2.0653e-12 -2.7486e-12 
351 -4.53425e-13 -2.07938e-12 -2.77037e-12 
352 -4.62754e-13 -2.08562e-12 -2.78449e-12 
353 -4.64128e-13 -2.08379e-12 -2.78623e-12 
354 -4.65504e-13 -2.09002e-12 -2.77971e-12 
355 -4.58928e-13 -2.1041e-12 -2.80147e-12 
356 -4.68255e-13 -2.11032e-12 -2.81559e-12 
