atom x[m] y[m] z[m]
327 5.7e-10 8.55e-10 1.995e-09 
328 1.14e-09 5.7e-10 1.71e-09 
329 1.425e-09 8.55e-10 1.71e-09 
330 1.425e-09 5.7e-10 1.995e-09 
331 1.14e-09 8.55e-10 1.995e-09 
332 1.71e-09 5.7e-10 1.71e-09 
333 1.995e-09 8.55e-10 1.71e-09 
334 1.995e-09 5.7e-10 1.995e-09 
335 1.71e-09 8.55e-10 1.995e-09 
336 2.28e-09 5.7e-10 1.71e-09 
337 2.565e-09 8.55e-10 1.71e-09 
338 2.565e-09 5.7e-10 1.995e-09 
339 2.28e-09 8.55e-10 1.995e-09 
340 0 1.14e-09 1.71e-09 
341 2.85e-10 1.425e-09 1.71e-09 
342 2.85e-10 1.14e-09 1.995e-09 
343 0 1.425e-09 1.995e-09 
344 5.7e-10 1.14e-09 1.71e-09 
345 8.55e-10 1.425e-09 1.71e-09 
346 8.55e-10 1.14e-09 1.995e-09 
347 5.7e-10 1.425e-09 1.995e-09 
348 1.14e-09 1.14e-09 1.71e-09 
349 1.425e-09 1.425e-09 1.71e-09 
350 1.425e-09 1.14e-09 1.995e-09 
351 1.14e-09 1.425e-09 1.995e-09 
352 1.71e-09 1.14e-09 1.71e-09 
353 1.995e-09 1.425e-09 1.71e-09 
354 1.995e-09 1.14e-09 1.995e-09 
355 1.71e-09 1.425e-09 1.995e-09 
356 2.28e-09 1.14e-09 1.71e-09 
357 2.565e-09 1.425e-09 1.71e-09 
358 2.565e-09 1.14e-09 1.995e-09 
359 2.28e-09 1.425e-09 1.995e-09 
360 0 1.71e-09 1.71e-09 
361 2.85e-10 1.995e-09 1.71e-09 
362 2.85e-10 1.71e-09 1.995e-09 
363 0 1.995e-09 1.995e-09 
364 5.7e-10 1.71e-09 1.71e-09 
365 8.55e-10 1.995e-09 1.71e-09 
366 8.55e-10 1.71e-09 1.995e-09 
367 5.7e-10 1.995e-09 1.995e-09 
368 1.14e-09 1.71e-09 1.71e-09 
369 1.425e-09 1.995e-09 1.71e-09 
370 1.425e-09 1.71e-09 1.995e-09 
371 1.14e-09 1.995e-09 1.995e-09 
372 1.71e-09 1.71e-09 1.71e-09 
373 1.995e-09 1.995e-09 1.71e-09 
374 1.995e-09 1.71e-09 1.995e-09 
375 1.71e-09 1.995e-09 1.995e-09 
376 2.28e-09 1.71e-09 1.71e-09 
