# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
26500 2048.81 140013 88411.7 -18738 1409.69
26600 2013.17 140806 88416.7 -18715.2 1385.17
26700 2046.9 140132 88421.7 -18740.6 1408.37
26800 2016.34 140398 88426.7 -18722.4 1387.35
26900 2034.14 139789 88431.8 -18737.7 1399.59
27000 2038.24 139066 88436.8 -18744.1 1402.41
27100 2034.29 139987 88441.9 -18745.2 1399.7
27200 2000.07 140450 88447 -18725.7 1376.15
27300 2012.98 139662 88452.2 -18738.9 1385.04
27400 1996.29 139844 88457.3 -18731.9 1373.55
27500 2016.54 138901 88462.5 -18750.3 1387.48
27600 1981.35 139851 88467.7 -18730.7 1363.27
27700 1986.31 139494 88472.9 -18738.7 1366.69
27800 2005.14 138210 88478.1 -18756.2 1379.64
27900 1988.67 138863 88483.4 -18749.3 1368.31
28000 1989.51 138002 88488.7 -18754.2 1368.88
28100 1986.09 137976 88494 -18756.2 1366.53
28200 2008.56 137268 88499.3 -18775.8 1381.99
28300 1987.47 137419 88504.6 -18765.4 1367.48
28400 1965.6 137976 88510 -18754.4 1352.44
28500 2022.46 135952 88515.3 -18797.3 1391.55
28600 2010.28 135905 88520.7 -18792.5 1383.18
28700 1975.22 137035 88526.1 -18771.8 1359.06
28800 1976.27 136732 88531.6 -18775.6 1359.78
28900 2003.87 135801 88537 -18797.5 1378.77
29000 2000.08 136268 88542.5 -18797.5 1376.16
29100 1988.15 136072 88548 -18791.7 1367.95
29200 1969.36 136339 88553.5 -18780.7 1355.02
29300 1980.06 135819 88559 -18789.7 1362.39
29400 1986.23 135431 88564.5 -18795.3 1366.63
29500 1965.42 136255 88570.1 -18782 1352.31
29600 1945.72 136063 88575.7 -18769.2 1338.76
29700 1952.13 136377 88581.3 -18773.7 1343.16
29800 1948.58 136063 88586.9 -18770.9 1340.73
29900 1977.14 135255 88592.5 -18789.8 1360.37
30000 1956.56 136261 88598.2 -18774.4 1346.21
30100 1973.5 135384 88603.8 -18784.5 1357.87
30200 1969.12 135938 88609.5 -18779.5 1354.86
30300 1975.91 135346 88615.2 -18781.9 1359.53
30400 1996.63 135338 88620.9 -18793.4 1373.78
30500 1970.19 136030 88626.7 -18772.1 1355.59
30600 1991.27 135425 88632.5 -18783.3 1370.1
30700 2009.93 135813 88638.2 -18792.6 1382.94
30800 1978.5 136653 88644 -18767.3 1361.31
30900 1995.9 135600 88649.8 -18775.5 1373.28
31000 2003.68 136233 88655.7 -18777 1378.63
31100 1972.85 136785 88661.5 -18751.9 1357.42
31200 2001.75 136774 88667.4 -18767.7 1377.31
31300 1978.05 136868 88673.3 -18747.2 1361
31400 2013.97 136653 88679.2 -18767.6 1385.72
31500 2020.18 136691 88685.1 -18767.6 1389.99
31600 2008.19 137048 88691.1 -18755 1381.74
31700 2027.18 135999 88697 -18763.8 1394.81
31800 2014.19 136541 88703 -18750.9 1385.87
31900 2019.39 137204 88709 -18750.6 1389.44
32000 2037.15 136964 88715 -18759.3 1401.66
32100 2032.65 136856 88721 -18753 1398.57
32200 2019.03 137503 88727.1 -18740.9 1389.2
32300 2019.36 137433 88733.1 -18738.7 1389.42
32400 2034.03 137475 88739.2 -18746.7 1399.52
32500 2012.33 137475 88745.3 -18730 1384.59
32600 2061.75 136509 88751.4 -18762.7 1418.59
32700 2040.49 137167 88757.6 -18747.4 1403.96
32800 2030.42 137335 88763.7 -18740.2 1397.04
32900 2005.62 137540 88769.9 -18723.3 1379.97
33000 2030.94 136731 88776.1 -18741.3 1397.39
33100 2038.76 136270 88782.3 -18747.9 1402.77
33200 2018.31 137188 88788.5 -18735.5 1388.7
33300 2042.4 136538 88794.7 -18754.2 1405.28
33400 2034.03 136786 88801 -18750.8 1399.52
33500 2026.56 136599 88807.2 -18748.6 1394.38
33600 2021.66 136134 88813.5 -18748.4 1391.01
33700 1982.98 136811 88819.8 -18725.2 1364.39
33800 1996.93 137328 88826.1 -18738.4 1373.99
33900 2030.89 135787 88832.5 -18765.4 1397.36
34000 2039.79 135140 88838.8 -18775.5 1403.48
34100 2042.34 134154 88845.2 -18781.4 1405.24
34200 2007.76 134823 88851.6 -18762.1 1381.44
34300 2030.49 134772 88858 -18782.4 1397.08
34400 2002.95 134756 88864.4 -18768.2 1378.13
34500 1956.11 136150 88870.8 -18740.6 1345.91
34600 2024.19 134585 88877.3 -18791.8 1392.75
